source,target,relationship_type,weight,assumption_basis
APTV,GM,tier2_to_tier1,0.35,Aptiv 10-K 2022: GM >10% of revenue
APTV,F,tier2_to_tier1,0.3,Aptiv 10-K 2022: Ford >10% of revenue
APTV,TM,tier2_to_tier1,0.2,Aptiv 10-K 2022: Toyota disclosed major customer
APTV,STLA,tier2_to_tier1,0.15,Aptiv 10-K 2022: Stellantis disclosed supplier
BWA,F,tier2_to_tier1,0.4,BorgWarner 10-K 2022: Ford 19% of revenue
BWA,STLA,tier2_to_tier1,0.3,BorgWarner 10-K 2022: Stellantis 14% of revenue
BWA,GM,tier2_to_tier1,0.25,BorgWarner 10-K 2022: GM 11% of revenue
BWA,TM,tier2_to_tier1,0.1,inferred_sector_structure: BorgWarner Toyota hybrid components
MGA,F,tier2_to_tier1,0.35,Magna 10-K 2022: Ford top-3 customer
MGA,GM,tier2_to_tier1,0.3,Magna 10-K 2022: GM top-3 customer
MGA,STLA,tier2_to_tier1,0.25,Magna 10-K 2022: Stellantis top-3 customer
MGA,TM,tier2_to_tier1,0.1,inferred_sector_structure: Magna Toyota closures contracts
LEA,GM,tier3_to_tier1_direct,0.45,Lear 10-K 2022: GM 24% of revenue (direct OEM)
LEA,F,tier3_to_tier1_direct,0.35,Lear 10-K 2022: Ford 20% of revenue (direct OEM)
LEA,STLA,tier3_to_tier1_direct,0.25,Lear 10-K 2022: Stellantis 14% of revenue (direct OEM)
ADNT,F,tier3_to_tier1_direct,0.4,Adient 10-K 2022: Ford 20% of revenue (direct OEM)
ADNT,STLA,tier3_to_tier1_direct,0.35,Adient 10-K 2022: Stellantis 18% of revenue (direct OEM)
DAN,STLA,tier3_to_tier1_direct,0.38,Dana 10-K 2022: Stellantis 20% of revenue (direct OEM)
DAN,GM,tier3_to_tier1_direct,0.28,Dana 10-K 2022: GM 16% of revenue (direct OEM)
DAN,F,tier3_to_tier1_direct,0.22,Dana 10-K 2022: Ford 13% of revenue (direct OEM)
MOD,BWA,tier3_to_tier2,0.3,inferred_sector_structure: Modine thermal mgmt for EV powertrains
MOD,APTV,tier3_to_tier2,0.2,inferred_sector_structure: Modine thermal for electrical systems
MOD,GM,tier3_to_tier1_direct,0.15,inferred_sector_structure: Modine direct OEM thermal contracts
